Trade Date,Instrument,Symbol,Expiry Date,Open Price,High Price,Low Price,Close Price,Daily Settlement Price,Open Interest(OI),No. of Contracts,Turnover ( Rs.)
28-Feb-20,FUTENR,BRCRUDE,28-02-2020,3678,3678,3678,3678,3643,38,1,0.04
28-Feb-20,FUTENR,BRCRUDE,31-03-2020,3628,3679,3598,3629,3701,57,110,4.02
27-Feb-20,FUTENR,BRCRUDE,28-02-2020,3775,3775,3663,3678,3742,38,4,0.15
27-Feb-20,FUTENR,BRCRUDE,31-03-2020,3748,3770,3642,3690,3760,11,36,1.33
26-Feb-20,FUTENR,BRCRUDE,28-02-2020,3963,3963,3875,3875,3880,39,34,1.34
26-Feb-20,FUTENR,BRCRUDE,31-03-2020,3854,3854,3847,3847,3898,0,20,0.77
25-Feb-20,FUTENR,BRCRUDE,28-02-2020,4062,4073,3988,3992,4043,39,57,2.31
24-Feb-20,FUTENR,BRCRUDE,28-02-2020,4102,4107,4026,4040,4053,54,89,3.62
21-Feb-20,FUTENR,BRCRUDE,28-02-2020,4194,4204,4173,4195,4187,40,14,0.59
20-Feb-20,FUTENR,BRCRUDE,28-02-2020,4251,4310,4236,4276,4258,42,63,2.69
19-Feb-20,FUTENR,BRCRUDE,28-02-2020,4176,4207,4156,4184,4192,61,47,1.96
18-Feb-20,FUTENR,BRCRUDE,28-02-2020,4076,4110,4039,4070,4053,60,55,2.24
17-Feb-20,FUTENR,BRCRUDE,28-02-2020,4094,4108,4085,4108,4105,40,49,2.01
14-Feb-20,FUTENR,BRCRUDE,28-02-2020,4032,4098,4030,4083,4083,50,35,1.42
13-Feb-20,FUTENR,BRCRUDE,28-02-2020,3994,4027,3941,4001,3966,40,79,3.15
12-Feb-20,FUTENR,BRCRUDE,28-02-2020,3921,4013,3918,3997,3948,41,82,3.25
11-Feb-20,FUTENR,BRCRUDE,28-02-2020,3851,3895,3838,3894,3881,54,96,3.72
10-Feb-20,FUTENR,BRCRUDE,28-02-2020,3895,3897,3850,3850,3887,54,55,2.13
07-Feb-20,FUTENR,BRCRUDE,28-02-2020,3932,3945,3893,3942,3921,53,104,4.08
06-Feb-20,FUTENR,BRCRUDE,28-02-2020,4016,4024,3890,3926,3975,67,149,5.87
05-Feb-20,FUTENR,BRCRUDE,28-02-2020,3900,4012,3871,4004,3963,40,160,6.33
04-Feb-20,FUTENR,BRCRUDE,28-02-2020,3903,3965,3903,3905,3950,20,131,5.14
30-Jan-20,FUTENR,BRCRUDE,31-01-2020,4236,4236,4201,4204,4181,5,13,0.55
30-Jan-20,FUTENR,BRCRUDE,28-02-2020,4170,4176,4155,4155,4199,14,20,0.83
29-Jan-20,FUTENR,BRCRUDE,31-01-2020,4288,4292,4267,4267,4276,5,7,0.3
28-Jan-20,FUTENR,BRCRUDE,31-01-2020,4232,4275,4181,4275,4212,0,30,1.27
27-Jan-20,FUTENR,BRCRUDE,31-01-2020,4201,4262,4197,4258,4210,1,12,0.51
24-Jan-20,FUTENR,BRCRUDE,31-01-2020,4442,4442,4359,4359,4415,5,19,0.83
23-Jan-20,FUTENR,BRCRUDE,31-01-2020,4444,4446,4436,4436,4457,4,3,0.13
22-Jan-20,FUTENR,BRCRUDE,31-01-2020,4573,4585,4495,4498,4586,3,26,1.19
21-Jan-20,FUTENR,BRCRUDE,31-01-2020,4593,4593,4574,4577,4590,1,14,0.64
20-Jan-20,FUTENR,BRCRUDE,31-01-2020,4671,4671,4639,4639,4647,3,5,0.23
17-Jan-20,FUTENR,BRCRUDE,31-01-2020,4592,4635,4592,4634,4631,0,6,0.28
16-Jan-20,FUTENR,BRCRUDE,31-01-2020,4575,4577,4566,4566,4567,0,8,0.37
15-Jan-20,FUTENR,BRCRUDE,31-01-2020,4558,4559,4555,4555,4587,2,9,0.41
14-Jan-20,FUTENR,BRCRUDE,31-01-2020,4553,4592,4540,4585,4603,1,13,0.59
13-Jan-20,FUTENR,BRCRUDE,31-01-2020,4605,4605,4554,4554,4616,2,4,0.18
10-Jan-20,FUTENR,BRCRUDE,31-01-2020,4639,4660,4619,4634,4674,2,12,0.56
09-Jan-20,FUTENR,BRCRUDE,31-01-2020,4671,4677,4659,4661,4706,2,21,0.98
08-Jan-20,FUTENR,BRCRUDE,31-01-2020,4936,4936,4738,4738,4961,1,4,0.19
07-Jan-20,FUTENR,BRCRUDE,31-01-2020,4917,4934,4895,4895,4933,3,14,0.69
06-Jan-20,FUTENR,BRCRUDE,31-01-2020,5065,5065,5014,5014,5036,1,12,0.6
