,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
77,TCS,EQ,27-Jun-2019,2254.2,2255.0,2264.0,2241.3,2261.5,2252.55,2254.5,2813464,6342943270.4,138850,1814968,64.51
121,TCS,EQ,30-Aug-2019,2233.45,2241.0,2266.0,2218.0,2259.0,2259.6,2241.92,2583625,5792267670.05,117933,1472256,56.98
159,TCS,EQ,30-Oct-2019,2194.85,2225.0,2260.0,2176.85,2258.0,2252.8,2229.89,5195136,11584598863.45,180430,3259740,62.75
69,TCS,EQ,17-Jun-2019,2254.5,2256.0,2262.0,2241.45,2244.0,2249.2,2252.43,1489497,3354989738.7,82160,649266,40.43
169,TCS,EQ,14-Nov-2019,2178.6,2187.5,2200.0,2146.7,2190.0,2196.8,2183.42,2995915,6541336935.45,104976,1188996,39.69
127,TCS,EQ,11-Sep-2019,2182.85,2186.0,2195.0,2146.55,2151.6,2154.0,2162.64,2627440,5682202898.0,199136,1433413,54.56
209,TCS,EQ,10-Jan-2020,2214.35,2228.0,2234.0,2208.0,2213.0,2213.55,2219.51,1915807,4252150307.25,102938,767417,40.06
198,TCS,EQ,26-Dec-2019,2215.6,2216.4,2229.0,2195.2,2202.0,2201.95,2207.75,1880367,4151371219.35,89812,832102,44.25
171,TCS,EQ,18-Nov-2019,2174.45,2178.4,2187.75,2148.75,2151.0,2152.6,2159.1,1611089,3478507912.8,66947,935177,58.05
175,TCS,EQ,22-Nov-2019,2118.1,2097.0,2107.0,2060.5,2067.1,2071.7,2079.37,3742049,7781117093.2,137777,2162742,57.8
65,TCS,EQ,11-Jun-2019,2231.5,2237.0,2263.95,2231.0,2252.0,2252.8,2250.89,3048937,6862835495.2,148188,1367975,44.87
177,TCS,EQ,26-Nov-2019,2081.5,2089.85,2097.9,2035.05,2046.65,2046.65,2056.29,6561580,13492522424.85,164453,4970094,75.75
134,TCS,EQ,20-Sep-2019,2101.95,2104.9,2129.4,2057.0,2069.0,2065.45,2083.7,6941979,14464976393.5,275363,4570451,65.84
22,TCS,EQ,04-Apr-2019,2079.3,2078.15,2079.7,2007.4,2017.0,2014.5,2039.77,4397518,8969909268.7,145227,2310866,52.55
144,TCS,EQ,07-Oct-2019,2079.35,2080.0,2094.5,2041.0,2046.0,2047.7,2062.27,2177916,4491446312.95,98775,1162115,53.36
68,TCS,EQ,14-Jun-2019,2254.1,2257.25,2263.1,2234.0,2249.8,2254.5,2250.08,2131408,4795830703.85,130534,947049,44.43
218,TCS,EQ,23-Jan-2020,2206.9,2209.8,2217.75,2183.7,2188.0,2190.95,2200.81,2069866,4555383340.35,110107,1214278,58.66
64,TCS,EQ,10-Jun-2019,2181.75,2196.7,2235.85,2185.5,2229.1,2231.5,2219.98,2080593,4618876309.55,106316,814523,39.15
43,TCS,EQ,09-May-2019,2152.85,2145.0,2184.1,2136.1,2171.2,2172.55,2166.98,2264162,4906404979.4,106297,1251459,55.27
180,TCS,EQ,29-Nov-2019,2077.35,2085.0,2085.0,2045.8,2051.65,2053.25,2055.87,2064271,4243879652.0,105237,1200921,58.18
